Query_Id,Query_Text,Query_Name,Total_Attempts,Successes,Failures,Success_Rate_Percent,Total_Time_Seconds,Avg_Time_Seconds,Min_Time_Seconds,Max_Time_Seconds
1,What is the chemical formula for water?,Test 1 - information,1,1,0,100.00,13.966,13.966,13.966,13.966
3,Who wrote the novel '1984'?,Test 2 - information,1,1,0,100.00,13.289,13.289,13.289,13.289
4,Calculate 200 divided by 8,Test 3 - computation,1,1,0,100.00,13.003,13.003,13.003,13.003
8,Calculate 144 / 12,Test 4 - mathematical,1,1,0,100.00,11.911,11.911,11.911,11.911
9,"Calculate the average of numbers: 5, 10, 15, 20, 25",Test 5 - data_analysis,1,1,0,100.00,12.141,12.141,12.141,12.141
10,What is the capital of Japan?,Test 6 - information,1,1,0,100.00,11.600,11.600,11.600,11.600
11,Calculate 10 * 5,Test 7 - mathematical,1,1,0,100.00,14.403,14.403,14.403,14.403
12,"Calculate the average of numbers: 100, 200, 300, 400, 500",Test 8 - data_analysis,1,1,0,100.00,11.818,11.818,11.818,11.818
13,What is 81 divided by 9?,Test 9 - mathematical,1,1,0,100.00,12.555,12.555,12.555,12.555
14,Calculate the percentage: 15 out of 60,Test 10 - data_analysis,1,1,0,100.00,11.363,11.363,11.363,11.363
15,Calculate the percentage: 45 out of 90,Test 11 - data_analysis,1,1,0,100.00,11.404,11.404,11.404,11.404
16,What is 5 to the power of 3?,Test 12 - mathematical,1,1,0,100.00,11.440,11.440,11.440,11.440
17,Who invented the telephone?,Test 13 - information,1,0,1,0.00,21.165,21.165,21.165,21.165
18,What is the capital of Australia?,Test 14 - information,1,0,1,0.00,21.149,21.149,21.149,21.149
19,What is the factorial of 7?,Test 15 - data_analysis,1,0,1,0.00,9.892,9.892,9.892,9.892
20,Who painted the Mona Lisa?,Test 16 - information,1,1,0,100.00,16.155,16.155,16.155,16.155
21,What is the smallest planet in our solar system?,Test 17 - information,1,1,0,100.00,12.351,12.351,12.351,12.351
22,What is 6 times 9?,Test 18 - computation,1,1,0,100.00,11.982,11.982,11.982,11.982
23,Find the sum of all prime numbers from 1 to 20,Test 19 - data_analysis,1,1,0,100.00,11.722,11.722,11.722,11.722
24,List the security features in DLF Camelia.,Test 20 - property,1,1,0,100.00,12.019,12.019,12.019,12.019
25,Find the parking facilities in DLF Camelia.,Test 21 - property,1,0,1,0.00,2490.979,2490.979,2490.979,2490.979
26,What are the price ranges for 3BHK apartments in DLF Camelia?,Test 22 - property,1,0,1,0.00,111.143,111.143,111.143,111.143
27,List the clubhouse facilities in DLF Camelia.,Test 23 - property,1,0,1,0.00,227.393,227.393,227.393,227.393
28,Calculate 180 divided by 9,Test 24 - computation,1,1,0,100.00,11.878,11.878,11.878,11.878
29,What is 3 to the power of 4?,Test 25 - computation,1,1,0,100.00,11.421,11.421,11.421,11.421
30,Who discovered penicillin?,Test 26 - information,1,1,0,100.00,12.437,12.437,12.437,12.437
31,Calculate 1000 minus 234,Test 27 - computation,1,1,0,100.00,13.055,13.055,13.055,13.055
32,What are the payment plans available for DLF Camelia?,Test 28 - property,1,1,0,100.00,698.538,698.538,698.538,698.538
33,What is 9 times 7?,Test 29 - computation,1,1,0,100.00,12.782,12.782,12.782,12.782
34,Find the connectivity options near DLF Camelia.,Test 30 - property,1,1,0,100.00,12.483,12.483,12.483,12.483
35,What is 8 * 9?,Test 31 - mathematical,1,1,0,100.00,12.120,12.120,12.120,12.120
36,When did World War II end?,Test 32 - information,1,1,0,100.00,8.290,8.290,8.290,8.290
37,When was the first moon landing?,Test 33 - information,1,1,0,100.00,12.868,12.868,12.868,12.868
38,Calculate the percentage: 25 out of 80,Test 34 - data_analysis,1,1,0,100.00,12.361,12.361,12.361,12.361
39,Find the greatest common divisor of 60 and 24,Test 35 - data_analysis,1,1,0,100.00,12.885,12.885,12.885,12.885
40,What is the largest planet in our solar system?,Test 36 - information,1,1,0,100.00,12.956,12.956,12.956,12.956
41,Calculate 300 minus 89,Test 37 - computation,1,1,0,100.00,12.864,12.864,12.864,12.864
42,What is the chemical symbol for gold?,Test 38 - information,1,1,0,100.00,12.703,12.703,12.703,12.703
43,What is 2 to the power of 8?,Test 39 - computation,1,1,0,100.00,13.275,13.275,13.275,13.275
44,Find the square root of 36,Test 40 - mathematical,1,1,0,100.00,13.082,13.082,13.082,13.082
45,What are the specifications for 3BHK units in DLF Camelia?,Test 41 - property,1,0,1,0.00,589.456,589.456,589.456,589.456
46,Find amenities available in DLF Camelia residential complex.,Test 42 - property,1,0,1,0.00,802.436,802.436,802.436,802.436
47,What are the nearby hospitals near DLF Camelia?,Test 43 - property,1,1,0,100.00,635.421,635.421,635.421,635.421
48,What is the capital of France?,Test 44 - information,1,1,0,100.00,13.337,13.337,13.337,13.337
49,What is 7 * 6?,Test 45 - mathematical,1,1,0,100.00,13.263,13.263,13.263,13.263
50,Find the sum of all odd numbers from 1 to 50,Test 46 - data_analysis,1,1,0,100.00,11.805,11.805,11.805,11.805
51,Find the sum of all even numbers from 1 to 100,Test 47 - data_analysis,1,1,0,100.00,12.292,12.292,12.292,12.292
52,"Calculate the average of numbers: 10, 20, 30, 40, 50",Test 48 - data_analysis,1,1,0,100.00,13.682,13.682,13.682,13.682
53,Find the square root of 25,Test 49 - mathematical,1,1,0,100.00,15.745,15.745,15.745,15.745
54,What are the maintenance charges for DLF Camelia?,Test 50 - property,1,1,0,100.00,21.808,21.808,21.808,21.808
55,What is the square of 11?,Test 51 - computation,1,1,0,100.00,11.595,11.595,11.595,11.595
56,What is the speed of light?,Test 52 - information,1,1,0,100.00,8.704,8.704,8.704,8.704
57,Find the square root of 16,Test 53 - mathematical,1,1,0,100.00,11.794,11.794,11.794,11.794
58,Who wrote 'Romeo and Juliet'?,Test 54 - information,1,1,0,100.00,12.453,12.453,12.453,12.453
59,Calculate 12 + 15,Test 55 - mathematical,1,1,0,100.00,12.710,12.710,12.710,12.710
60,Find the total project area of DLF Camelia.,Test 56 - property,1,0,1,0.00,793.676,793.676,793.676,793.676
61,What is the chemical formula for carbon dioxide?,Test 57 - information,1,1,0,100.00,21.300,21.300,21.300,21.300
62,Calculate the percentage: 30 out of 100,Test 58 - data_analysis,1,1,0,100.00,16.547,16.547,16.547,16.547
63,List all available property types in DLF Camelia project.,Test 59 - property,1,1,0,100.00,691.530,691.530,691.530,691.530
64,What is the factorial of 5?,Test 60 - data_analysis,1,1,0,100.00,12.209,12.209,12.209,12.209
65,What is the total number of units in DLF Camelia?,Test 61 - property,1,1,0,100.00,12.418,12.418,12.418,12.418
66,What is 3 * 7?,Test 62 - mathematical,1,1,0,100.00,12.061,12.061,12.061,12.061
67,Calculate 50 - 23,Test 63 - mathematical,1,1,0,100.00,11.930,11.930,11.930,11.930
68,What is the factorial of 6?,Test 64 - data_analysis,1,1,0,100.00,12.423,12.423,12.423,12.423
69,What is 7 times 8?,Test 65 - computation,1,1,0,100.00,11.742,11.742,11.742,11.742
70,Calculate 200 / 10,Test 66 - mathematical,1,1,0,100.00,13.079,13.079,13.079,13.079
71,Find the least common multiple of 8 and 12,Test 67 - data_analysis,1,1,0,100.00,13.063,13.063,13.063,13.063
72,When was the first computer invented?,Test 68 - information,1,0,1,0.00,22.421,22.421,22.421,22.421
73,What is 4 to the power of 3?,Test 69 - computation,1,1,0,100.00,12.750,12.750,12.750,12.750
74,Find number of BHK variants available in DLF Camelia from local sources.,Test 70 - property,1,1,0,100.00,15.640,15.640,15.640,15.640
75,What is 2 + 2?,Test 71 - mathematical,1,1,0,100.00,11.588,11.588,11.588,11.588
76,What is 5 to the power of 2?,Test 72 - computation,1,1,0,100.00,12.483,12.483,12.483,12.483
77,Who wrote 'The Great Gatsby'?,Test 73 - information,1,1,0,100.00,11.938,11.938,11.938,11.938
78,Calculate 1000 minus 567,Test 74 - computation,1,1,0,100.00,12.054,12.054,12.054,12.054
79,When was the internet invented?,Test 75 - information,1,1,0,100.00,11.717,11.717,11.717,11.717
80,What is the square of 12?,Test 76 - computation,1,1,0,100.00,11.775,11.775,11.775,11.775
81,Find the location details of DLF Camelia project.,Test 77 - property,1,0,1,0.00,442.361,442.361,442.361,442.361
82,Find the sum of all numbers from 1 to 100,Test 78 - data_analysis,1,1,0,100.00,12.264,12.264,12.264,12.264
83,What is the square of 9?,Test 79 - computation,1,1,0,100.00,11.953,11.953,11.953,11.953
84,What is the factorial of 4?,Test 80 - data_analysis,1,1,0,100.00,11.424,11.424,11.424,11.424
85,Find the greatest common divisor of 48 and 18,Test 81 - data_analysis,1,1,0,100.00,11.770,11.770,11.770,11.770
86,What are the nearby schools near DLF Camelia?,Test 82 - property,1,0,1,0.00,425.352,425.352,425.352,425.352
87,List the floor plans for 2BHK units in DLF Camelia.,Test 83 - property,1,0,1,0.00,549.907,549.907,549.907,549.907
88,Calculate 500 minus 123,Test 84 - computation,1,1,0,100.00,11.751,11.751,11.751,11.751
89,What is 8 times 7?,Test 85 - computation,1,1,0,100.00,11.423,11.423,11.423,11.423
90,Calculate 15 + 27,Test 86 - mathematical,1,1,0,100.00,11.606,11.606,11.606,11.606
91,What is the tallest mountain in the world?,Test 87 - information,1,1,0,100.00,7.997,7.997,7.997,7.997
92,"Calculate the average of numbers: 1, 2, 3, 4, 5",Test 88 - data_analysis,1,1,0,100.00,13.002,13.002,13.002,13.002
93,Calculate 20 * 4,Test 89 - mathematical,1,1,0,100.00,12.916,12.916,12.916,12.916
94,Find the least common multiple of 12 and 18,Test 90 - data_analysis,1,1,0,100.00,12.951,12.951,12.951,12.951
95,Calculate 256 divided by 16,Test 91 - computation,1,1,0,100.00,12.418,12.418,12.418,12.418
96,What is 100 - 37?,Test 92 - mathematical,1,1,0,100.00,12.458,12.458,12.458,12.458
97,Find the square root of 49,Test 93 - mathematical,1,1,0,100.00,12.188,12.188,12.188,12.188
98,Find the possession date for DLF Camelia project.,Test 94 - property,1,1,0,100.00,13.494,13.494,13.494,13.494
99,What is the RERA registration number for DLF Camelia?,Test 95 - property,1,0,1,0.00,41.452,41.452,41.452,41.452
100,Find the builder information for DLF Camelia project.,Test 96 - property,1,0,1,0.00,32.794,32.794,32.794,32.794
101,What is the square of 15?,Test 97 - computation,1,1,0,100.00,11.476,11.476,11.476,11.476
102,What is 100 divided by 4?,Test 98 - mathematical,1,1,0,100.00,11.504,11.504,11.504,11.504
103,Calculate 6 * 8,Test 99 - mathematical,1,1,0,100.00,11.558,11.558,11.558,11.558
104,Calculate 144 divided by 12,Test 100 - computation,1,1,0,100.00,11.434,11.434,11.434,11.434
